Iteration No.,Under-sampling,Data-split,Modeling
1,43,43,43
2,43,43,42
3,43,43,40
4,43,43,38
5,43,42,42
6,43,42,41
7,43,42,39
8,43,42,38
9,43,42,37
10,43,41,43
11,43,41,42
12,43,41,39
13,43,41,38
14,43,40,43
15,43,40,42
16,42,42,42
17,42,42,41
18,42,42,39
19,42,42,37
20,42,41,41
21,42,40,42
22,42,40,40
23,42,40,39
24,42,40,37
25,41,42,40
26,41,42,39
27,41,42,38
28,41,42,37
29,41,41,42
30,41,41,41
31,41,41,40
32,41,41,39
33,41,41,38
34,41,40,42
35,41,40,40
35,41,40,38
35,41,40,37
35,40,42,42
35,40,42,41
35,40,42,40
35,40,42,39
35,40,42,38
35,40,42,37
35,40,41,41
35,40,41,40
35,40,40,42
35,40,40,41
35,40,40,38
35,40,40,37
