Iteration No.,Under-sampling,Data-split,Modeling,Accuracy,Precision,Recall,F1-score
1,43,43,43,0.9633303276224827,0.9449954914337241,0.9449954914337241,0.9449954914337241
2,43,43,42,0.9633303276224827,0.9449954914337241,0.9449954914337241,0.9449954914337241
3,43,43,40,0.9633303276224827,0.9449954914337241,0.9449954914337241,0.9449954914337241
4,43,43,38,0.9633303276224827,0.9449954914337241,0.9449954914337241,0.9449954914337241
5,43,42,42,0.9516080553050796,0.9274120829576195,0.9274120829576195,0.9274120829576195
6,43,42,41,0.9516080553050796,0.9274120829576195,0.9274120829576195,0.9274120829576195
7,43,42,39,0.9516080553050796,0.9274120829576195,0.9274120829576195,0.9274120829576195
8,43,42,38,0.9516080553050796,0.9274120829576195,0.9274120829576195,0.9274120829576195
9,43,42,37,0.9516080553050796,0.9274120829576195,0.9274120829576195,0.9274120829576195
10,43,41,43,0.9579200480913737,0.9368800721370604,0.9368800721370604,0.9368800721370604
11,43,41,42,0.9579200480913737,0.9368800721370604,0.9368800721370604,0.9368800721370604
12,43,41,39,0.8833784189960926,0.8250676284941388,0.8250676284941388,0.8250676284941388
13,43,41,38,0.8833784189960926,0.8250676284941388,0.8250676284941388,0.8250676284941388
14,43,40,43,0.955214908325819,0.9328223624887286,0.9328223624887286,0.9328223624887286
15,43,40,42,0.955214908325819,0.9328223624887286,0.9328223624887286,0.9328223624887286
16,42,42,42,0.9516080553050796,0.9274120829576195,0.9274120829576195,0.9274120829576195
17,42,42,41,0.8809738503155996,0.8214607754733995,0.8214607754733995,0.8214607754733995
18,42,42,39,0.8809738503155996,0.8214607754733995,0.8214607754733995,0.8214607754733995
19,42,42,37,0.9516080553050796,0.9274120829576195,0.9274120829576195,0.9274120829576195
20,42,41,41,0.9483017733694019,0.9224526600541028,0.9224526600541028,0.9224526600541028
21,42,40,42,0.9555154794108807,0.933273219116321,0.933273219116321,0.933273219116321
22,42,40,40,0.8734595731890592,0.8101893597835889,0.8101893597835889,0.8101893597835889
23,42,40,39,0.9555154794108807,0.933273219116321,0.933273219116321,0.933273219116321
24,42,40,37,0.8734595731890592,0.8101893597835889,0.8101893597835889,0.8101893597835889
25,41,42,40,0.955214908325819,0.9328223624887286,0.9328223624887286,0.9328223624887286
26,41,42,39,0.8884881274421401,0.8327321911632101,0.8327321911632101,0.8327321911632101
27,41,42,38,0.8884881274421401,0.8327321911632101,0.8327321911632101,0.8327321911632101
28,41,42,37,0.955214908325819,0.9328223624887286,0.9328223624887286,0.9328223624887286
29,41,41,42,0.9516080553050796,0.9274120829576195,0.9274120829576195,0.9274120829576195
30,41,41,41,0.92936579501052,0.89404869251578,0.89404869251578,0.89404869251578
31,41,41,40,0.9516080553050796,0.9274120829576195,0.9274120829576195,0.9274120829576195
32,41,41,39,0.9516080553050796,0.9274120829576195,0.9274120829576195,0.9274120829576195
33,41,41,38,0.9516080553050796,0.9274120829576195,0.9274120829576195,0.9274120829576195
34,41,40,42,0.9522091974752029,0.9283137962128043,0.9283137962128043,0.9283137962128043
35,41,40,40,0.8737601442741209,0.8106402164111812,0.8106402164111812,0.8106402164111812
35,41,40,38,0.9522091974752029,0.9283137962128043,0.9283137962128043,0.9283137962128043
35,41,40,37,0.9522091974752029,0.9283137962128043,0.9283137962128043,0.9283137962128043
35,40,42,42,0.9546137661556958,0.9319206492335438,0.9319206492335438,0.9319206492335438
35,40,42,41,0.9546137661556958,0.9319206492335438,0.9319206492335438,0.9319206492335438
35,40,42,40,0.9546137661556958,0.9319206492335438,0.9319206492335438,0.9319206492335438
35,40,42,39,0.9546137661556958,0.9319206492335438,0.9319206492335438,0.9319206492335438
35,40,42,38,0.9546137661556958,0.9319206492335438,0.9319206492335438,0.9319206492335438
35,40,42,37,0.9546137661556958,0.9319206492335438,0.9319206492335438,0.9319206492335438
35,40,41,41,0.9516080553050796,0.9274120829576195,0.9274120829576195,0.9274120829576195
35,40,41,40,0.9516080553050796,0.9274120829576195,0.9274120829576195,0.9274120829576195
35,40,40,42,0.9585211902614968,0.9377817853922452,0.9377817853922452,0.9377817853922453
35,40,40,41,0.8755635707844905,0.8133453561767358,0.8133453561767358,0.8133453561767358
35,40,40,38,0.8755635707844905,0.8133453561767358,0.8133453561767358,0.8133453561767358
35,40,40,37,0.9585211902614968,0.9377817853922452,0.9377817853922452,0.9377817853922453
